flow_id,id_from,id_to
42008902_0009,42008902,9
42007245_0009,42007245,9
42001060_0026,42001060,26
42008505_0217,42008505,217
42001113_0217,42001113,217
42009314_0217,42009314,217
42002479_0217,42002479,217
42007313_0217,42007313,217
42003629_0217,42003629,217
Z3631_0217,Z3631,217
Z4171_0235,Z4171,235
Z12913_0235,Z12913,235
42007284_0235,42007284,235
42009304_0235,42009304,235
42001980_0235,42001980,235
Z3551_0235,Z3551,235
42001117_0235,42001117,235
42002397_0235,42002397,235
42002033_0235,42002033,235
42009311_0235,42009311,235
42005369_0235,42005369,235
42002070_0235,42002070,235
42001953_0235,42001953,235
42001771_0241,42001771,241
42001766_0241,42001766,241
42001829_0241,42001829,241
42007313_0241,42007313,241
42003359_0241,42003359,241
Z10180_0241,Z10180,241
Z10198_0241,Z10198,241
42001538_0241,42001538,241
42009304_0247,42009304,247
42007313_0247,42007313,247
Z3631_0247,Z3631,247
42001117_0247,42001117,247
Z10685_0247,Z10685,247
42005369_0247,42005369,247
Z4171_0247,Z4171,247
Z10844_0217,Z10844,217
42001160_0235,42001160,235
42007245_0247,42007245,247
42008902_0247,42008902,247
42001967_0024,42001967,24
Z12809_0247,Z12809,247
Z12821_0217,Z12821,217
42001390_0217,42001390,217
42005369_0241,42005369,241
42007313_0009,42007313,9
42002165_0026,42002165,26
42001538_0217,42001538,217
Z10180_0217,Z10180,217
42008902_0024,42008902,24
42001714_0024,42001714,24
42009304_0024,42009304,24
42007257_0024,42007257,24
42009769_0127,42009769,127
Z16317_0127,Z16317,127
42009304_0127,42009304,127
42055627_0127,42055627,127
42001414_0127,42001414,127
42007313_0127,42007313,127
42002980_0127,42002980,127
Z50186_0217,Z50186,217
Z4161_0217,Z4161,217
Z19219_0235,Z19219,235
42005144_0235,42005144,235
Z10723_0241,Z10723,241
42002614_0247,42002614,247
Z10714_0127,Z10714,127
42001771_0024,42001771,24
42007858_0273,42007858,273
Z3631_0273,Z3631,273
42004329_0273,42004329,273
42005063_0273,42005063,273
Z20353_0273,Z20353,273
42001060_0273,42001060,273
Z21089_0273,Z21089,273
42007665_0273,42007665,273
42209969_0273,42209969,273
Z11780_0273,Z11780,273
Z11480_0273,Z11480,273
Z21083_0273,Z21083,273
42007830_0273,42007830,273
42006406_0273,42006406,273
Z20726_0273,Z20726,273
42001609_0273,42001609,273
42007313_0273,42007313,273
Z17325_0273,Z17325,273
Z17618_0273,Z17618,273
42007284_0273,42007284,273
Z3551_0273,Z3551,273
42002165_0273,42002165,273
Z12975_0273,Z12975,273
Z11780_0026,Z11780,26
42001609_0026,42001609,26
42001725_0026,42001725,26
Z10531_0026,Z10531,26
Z12913_0026,Z12913,26
42007284_0026,42007284,26
9023500_0026,9023500,26
42001771_0026,42001771,26
42001980_0026,42001980,26
42002152_0026,42002152,26
Z4171_0024,Z4171,24
42201157_0026,42201157,26
Z12975_0026,Z12975,26
Z10712_0026,Z10712,26
Z10540_0235,Z10540,235
Z12809_0241,Z12809,241
Z3631_0241,Z3631,241
Z16450_0127,Z16450,127
42004844_0127,42004844,127
42008883_0127,42008883,127
Z4171_0127,Z4171,127
Z12913_0127,Z12913,127
42002397_0127,42002397,127
42057080_0127,42057080,127
42007171_0127,42007171,127
42227945_0127,42227945,127
42002614_0127,42002614,127
42001714_0127,42001714,127
42001771_0127,42001771,127
42009304_0241,42009304,241
42057080_0241,42057080,241
42055863_0024,42055863,24
Z12913_0024,Z12913,24
42002019_0024,42002019,24
42209852_0024,42209852,24
42001117_0127,42001117,127
Z16450_0217,Z16450,217
Z11844_0024,Z11844,24
42057080_0024,42057080,24
Z11293_0217,Z11293,217
42001414_0241,42001414,241
42001390_0127,42001390,127
Z19682_0247,Z19682,247
42007245_0235,42007245,235
Z11795_0235,Z11795,235
Z11480_0235,Z11480,235
Z19682_0235,Z19682,235
Z11492_0026,Z11492,26
Z10727_0277,Z10727,277
Z11780_0277,Z11780,277
42001060_0277,42001060,277
42001609_0277,42001609,277
42001918_0277,42001918,277
Z80186_0277,Z80186,277
42003605_0277,42003605,277
42009682_0277,42009682,277
Z15314_0277,Z15314,277
Z10712_0277,Z10712,277
Z80168_0277,Z80168,277
Z11492_0277,Z11492,277
42009696_0277,42009696,277
42001766_0277,42001766,277
42009682_0026,42009682,26
42201157_0277,42201157,277
Z10485_0235,Z10485,235
Z12809_0235,Z12809,235
42001135_0235,42001135,235
Z3631_0024,Z3631,24
Z15673_0273,Z15673,273
42005059_0273,42005059,273
Z11158_0235,Z11158,235
Z4923_0009,Z4923,9
42002614_0235,42002614,235
42005369_0024,42005369,24
Z25524_0273,Z25524,273
42002019_0241,42002019,241
42002019_0127,42002019,127
Z10545_0127,Z10545,127
42001538_0235,42001538,235
42003759_0026,42003759,26
Z10685_0217,Z10685,217
42007284_0217,42007284,217
42001414_0024,42001414,24
Z21117_0273,Z21117,273
Z14226_0026,Z14226,26
42001538_0127,42001538,127
Z3631_0127,Z3631,127
Z13957_0026,Z13957,26
Z10485_0026,Z10485,26
42007313_0235,42007313,235
42009314_0247,42009314,247
42008505_0247,42008505,247
42002479_0247,42002479,247
Z10685_0127,Z10685,127
42001160_0273,42001160,273
42004072_0273,42004072,273
42006575_0273,42006575,273
42003373_0273,42003373,273
Z11498_0241,Z11498,241
Z10844_0247,Z10844,247
42001390_0247,42001390,247
42007313_0026,42007313,26
42009304_0026,42009304,26
42002038_0026,42002038,26
Z4161_0247,Z4161,247
Z50186_0247,Z50186,247
42005033_0273,42005033,273
42004667_0273,42004667,273
42003931_0273,42003931,273
42055177_0127,42055177,127
42001160_0241,42001160,241
Z3631_0026,Z3631,26
42001725_0277,42001725,277
42001766_0127,42001766,127
42001113_0235,42001113,235
42008902_0127,42008902,127
42001953_0273,42001953,273
42002033_0026,42002033,26
42002126_0026,42002126,26
42007313_0024,42007313,24
42007284_0024,42007284,24
42001110_0024,42001110,24
42002165_0024,42002165,24
Z3551_0024,Z3551,24
42001970_0024,42001970,24
42001830_0262,42001830,262
Z11520_0262,Z11520,262
42001060_0262,42001060,262
42001113_0262,42001113,262
42001953_0026,42001953,26
42001160_0026,42001160,26
42008577_0026,42008577,26
Z11480_0026,Z11480,26
Z12083_0026,Z12083,26
Z3551_0026,Z3551,26
Z19503_0026,Z19503,26
42004369_0026,42004369,26
42002033_0024,42002033,24
Z10714_0024,Z10714,24
Z19682_0024,Z19682,24
0009_0001,9,900
0009_0025,9,7803
0009_0029,9,7803
0009_0031,9,7803
0009_0032,9,997
0009_0033,9,7803
0009_0035,9,7803
0009_0036,9,902
0009_0037,9,7803
0009_0038,9,902
0009_0040,9,905
0009_0044,9,920
0009_0045,9,917
0009_0046,9,7803
0009_0050,9,7803
0009_0051,9,910
0009_0055,9,7803
0009_0056,9,7803
0009_0057,9,7803
0009_0058,9,7803
0009_0059,9,906
0009_0060,9,7803
0009_0061,9,997
0009_0064,9,926
0009_0065,9,7803
0009_0066,9,919
0009_0067,9,7803
0009_0068,9,902
0009_0070,9,900
0009_0071,9,926
0009_0076,9,7803
0009_0077,9,7803
0009_0079,9,7803
0009_0081,9,926
0009_0082,9,906
0009_0087,9,7803
0009_0101,9,7803
0009_0103,9,7803
0009_0104,9,926
0009_0107,9,7803
0009_0108,9,906
0009_0122,9,926
0009_0124,9,7803
0009_0126,9,907
0009_0130,9,906
0009_0141,9,926
0009_0143,9,7803
0009_0145,9,926
0009_0147,9,908
0009_0154,9,906
0009_0168,9,926
0009_0169,9,906
0009_0173,9,7803
0009_0174,9,906
0009_0209,9,7803
0009_0211,9,926
0009_0213,9,7803
0009_0214,9,7803
0009_0236,9,7803
0009_0237,9,906
0009_0243,9,7803
0009_0244,9,919
0009_0257,9,7803
0009_0264,9,7803
0009_0270,9,7803
0009_0276,9,7803
0009_0282,9,7803
0009_0284,9,920
0009_0286,9,7803
0009_0900,9,900
0009_0906,9,906
0009_0911,9,926
0009_0912,9,926
0009_0913,9,925
0009_0914,9,926
0009_0916,9,926
0009_0921,9,906
0009_0922,9,7803
0009_0925,9,925
0009_0926,9,926
0009_0957,9,7803
0009_0959,9,900
0009_6000,9,7803
0009_6006,9,905
0009_6010,9,7803
0009_6011,9,926
0009_6012,9,926
0009_6013,9,926
0009_6014,9,926
0009_6015,9,926
0009_6016,9,900
0009_6019,9,7803
0009_6023,9,7803
0009_6027,9,7803
0009_6028,9,920
0009_6029,9,920
0009_6031,9,7803
0009_6032,9,7803
0009_6033,9,7803
0009_6034,9,906
0009_6035,9,926
0009_6036,9,906
0009_6037,9,902
0009_6039,9,7803
0009_6040,9,7803
0009_6042,9,7803
0009_6043,9,900
0009_6044,9,7803
0009_6046,9,900
0009_6050,9,917
0009_6054,9,7803
0009_6056,9,900
0009_6059,9,997
0009_6060,9,900
0009_6064,9,7803
0009_6065,9,7803
0009_6066,9,917
0009_6068,9,997
0009_6069,9,7803
0009_6070,9,7803
0009_6990,9,906
0009_6998,9,906
0009_7000,9,907
0009_7001,9,919
0009_7800,9,7803
0009_7802,9,7803
0009_7803,9,7803
0019_0025,19,900
0019_0035,19,900
0019_0037,19,938
0019_0046,19,900
0019_0057,19,900
0019_0060,19,900
0019_0087,19,939
0019_0101,19,900
0019_0103,19,940
0019_0123,19,956
0019_0124,19,900
0024_0001,24,964
0024_0025,24,937
0024_0029,24,964
0024_0031,24,964
0024_0032,24,964
0024_0033,24,986
0024_0035,24,964
0024_0036,24,964
0024_0037,24,938
0024_0038,24,964
0024_0040,24,964
0024_0044,24,964
0024_0045,24,917
0024_0046,24,964
0024_0050,24,964
0024_0051,24,964
0024_0055,24,982
0024_0057,24,964
0024_0058,24,964
0024_0059,24,964
0024_0060,24,964
0024_0061,24,964
0024_0064,24,964
0024_0065,24,964
0024_0066,24,964
0024_0067,24,964
0024_0070,24,964
0024_0071,24,964
0024_0076,24,964
0024_0077,24,964
0024_0079,24,981
0024_0081,24,964
0024_0087,24,964
0024_0101,24,964
0024_0103,24,7809
0024_0104,24,964
0024_0107,24,937
0024_0108,24,964
0024_0122,24,964
0024_0123,24,937
0024_0124,24,964
0024_0126,24,964
0024_0141,24,964
0024_0143,24,989
0024_0145,24,964
0024_0147,24,964
0024_0168,24,964
0024_0173,24,964
0024_0174,24,964
0024_0209,24,964
0024_0211,24,964
0024_0213,24,983
0024_0236,24,964
0024_0243,24,964
0024_0244,24,964
0024_0270,24,964
0024_0276,24,964
0024_0284,24,964
0024_0906,24,964
0024_0911,24,964
0024_0912,24,964
0024_0926,24,964
0024_0939,24,964
0024_0940,24,7809
0024_0957,24,957
0024_0959,24,964
0024_0964,24,964
0024_0969,24,964
0024_0977,24,964
0024_0978,24,964
0024_6000,24,964
0024_6012,24,964
0024_6013,24,964
0024_6014,24,964
0024_6015,24,964
0024_6019,24,964
0024_6028,24,920
0024_6029,24,920
0024_6035,24,964
0024_6036,24,964
0024_6037,24,964
0024_6043,24,964
0024_6046,24,964
0024_6050,24,964
0024_6060,24,964
0024_6064,24,7809
0024_6065,24,7809
0024_7000,24,964
0024_7001,24,964
0024_7802,24,937
0026_0001,26,900
0026_0025,26,959
0026_0029,26,959
0026_0031,26,990
0026_0032,26,959
0026_0033,26,959
0026_0035,26,959
0026_0036,26,959
0026_0037,26,959
0026_0038,26,959
0026_0040,26,959
0026_0044,26,959
0026_0045,26,917
0026_0046,26,959
0026_0048,26,992
0026_0051,26,959
0026_0052,26,959
0026_0055,26,959
0026_0056,26,959
0026_0057,26,959
0026_0058,26,959
0026_0059,26,959
0026_0060,26,959
0026_0061,26,959
0026_0064,26,959
0026_0065,26,959
0026_0066,26,959
0026_0067,26,959
0026_0068,26,959
0026_0070,26,900
0026_0071,26,959
0026_0076,26,988
0026_0077,26,979
0026_0079,26,959
0026_0081,26,959
0026_0082,26,959
0026_0087,26,959
0026_0101,26,959
0026_0103,26,959
0026_0104,26,959
0026_0107,26,959
0026_0108,26,906
0026_0122,26,959
0026_0123,26,959
0026_0124,26,959
0026_0126,26,907
0026_0141,26,959
0026_0143,26,959
0026_0145,26,959
0026_0147,26,908
0026_0168,26,959
0026_0173,26,959
0026_0174,26,906
0026_0209,26,959
0026_0211,26,959
0026_0213,26,983
0026_0214,26,960
0026_0236,26,990
0026_0237,26,906
0026_0243,26,993
0026_0244,26,959
0026_0257,26,959
0026_0264,26,959
0026_0270,26,960
0026_0272,26,959
0026_0276,26,959
0026_0282,26,960
0026_0283,26,959
0026_0284,26,959
0026_0286,26,959
0026_0287,26,991
0026_0289,26,7807
0026_0906,26,906
0026_0911,26,959
0026_0912,26,959
0026_0916,26,959
0026_0926,26,959
0026_0959,26,959
0026_0979,26,979
0026_0989,26,959
0026_0993,26,993
0026_6000,26,960
0026_6006,26,959
0026_6011,26,959
0026_6012,26,959
0026_6013,26,959
0026_6014,26,959
0026_6015,26,959
0026_6018,26,979
0026_6019,26,979
0026_6020,26,979
0026_6021,26,979
0026_6023,26,983
0026_6027,26,960
0026_6028,26,959
0026_6029,26,959
0026_6031,26,959
0026_6035,26,959
0026_6036,26,906
0026_6037,26,959
0026_6040,26,983
0026_6042,26,983
0026_6043,26,900
0026_6044,26,959
0026_6046,26,959
0026_6050,26,917
0026_6055,26,959
0026_6059,26,959
0026_6060,26,900
0026_6064,26,959
0026_6065,26,959
0026_6068,26,959
0026_6069,26,959
0026_6070,26,959
0026_6071,26,983
0026_7000,26,907
0026_7001,26,959
0026_7802,26,959
0034_0025,34,7802
0034_0033,34,7802
0034_0035,34,7802
0034_0037,34,7802
0034_0046,34,7802
0034_0050,34,7802
0034_0055,34,982
0034_0057,34,7802
0034_0058,34,7802
