product_name,product_category,flow_id_supplier,flow_id_internal,flow_id_customer,order_value
SNACKS Chips Bag 129,Chips,42008902_0009,0009_0001,0001_F001006368,53675.7578
SNACKS Chips Bag 155,Chips,42008902_0009,0009_0001,0001_F001006368,72391.75949
SNACKS Chips Bag 155,Chips,42008902_0009,0009_0001,0001_F001006368,482611.7299
FROZEN Frozen Pizza Bag 22,Frozen Pizza,42007245_0009,0009_0001,0001_F001006368,459023.28
FROZEN Frozen Pizza Bag 22,Frozen Pizza,42007245_0009,0009_0001,0001_F001006368,594030.1271
FROZEN Frozen Pizza Bag 22,Frozen Pizza,42007245_0009,0009_0001,0001_F001006368,351017.8023
HOUSEHOLD Surface Cleaners Stick 850,Surface Cleaners,42001060_0026,0026_0001,0001_F001006368,34120.84745
HOUSEHOLD Surface Cleaners Stick 850,Surface Cleaners,42001060_0026,0026_0001,0001_F001006368,34120.84745
HOUSEHOLD Surface Cleaners Clamshell 94,Surface Cleaners,42008505_0217,0217_0001,0001_F001006368,612869.1846
HOUSEHOLD Surface Cleaners Clamshell 94,Surface Cleaners,42008505_0217,0217_0001,0001_F001006368,574564.8606
HOUSEHOLD Surface Cleaners Clamshell 96,Surface Cleaners,42008505_0217,0217_0001,0001_F001006368,550769.2265
HOUSEHOLD Surface Cleaners Stick 99,Surface Cleaners,42001113_0217,0217_0001,0001_F001006368,822309.5834
HOUSEHOLD Surface Cleaners Stick 99,Surface Cleaners,42001113_0217,0217_0001,0001_F001006368,282945.233
HOUSEHOLD Surface Cleaners Stick 100,Surface Cleaners,42001113_0217,0217_0001,0001_F001006368,1326742.731
HOUSEHOLD Surface Cleaners Clamshell 109,Surface Cleaners,42009314_0217,0217_0001,0001_F001006368,932557.0225
HOUSEHOLD Surface Cleaners Clamshell 109,Surface Cleaners,42009314_0217,0217_0001,0001_F001006368,1362967.956
HOUSEHOLD Surface Cleaners Clamshell 123,Surface Cleaners,42009314_0217,0217_0001,0001_F001006368,637799.3332
HOUSEHOLD Surface Cleaners Clamshell 144,Surface Cleaners,42002479_0217,0217_0001,0001_F001006368,73249.17619
HOUSEHOLD Surface Cleaners Clamshell 144,Surface Cleaners,42002479_0217,0217_0001,0001_F001006368,83713.34422
HOUSEHOLD Surface Cleaners Clamshell 175,Surface Cleaners,42002479_0217,0217_0001,0001_F001006368,1969052.328
CHECK OUT ITEMS Magazine Bag 594,Magazine,42003629_0217,0217_0001,0001_F001006368,182693.8777
CHECK OUT ITEMS Magazine Bag 594,Magazine,42003629_0217,0217_0001,0001_F001006368,127885.7144
CHECK OUT ITEMS Magazine Bag 594,Magazine,42003629_0217,0217_0001,0001_F001006368,200963.2655
CHECK OUT ITEMS Magazine Bag 633,Magazine,42007313_0217,0217_0001,0001_F001006368,48876.98086
CHECK OUT ITEMS Magazine Bag 633,Magazine,42007313_0217,0217_0001,0001_F001006368,244384.9043
CHECK OUT ITEMS Magazine Bag 633,Magazine,42007313_0217,0217_0001,0001_F001006368,425227.052
CHECK OUT ITEMS Magazine Bag 636,Magazine,Z3631_0217,0217_0001,0001_F001006368,80200.80423
CHECK OUT ITEMS Magazine Bag 636,Magazine,Z3631_0217,0217_0001,0001_F001006368,96240.96508
CHECK OUT ITEMS Magazine Bag 636,Magazine,Z3631_0217,0217_0001,0001_F001006368,80200.80423
BEVERAGES Sparkling Water Carton Box 2,Sparkling Water,Z4171_0235,0235_0001,0001_F001006368,119128.6187
BEVERAGES Sparkling Water Carton Box 2,Sparkling Water,Z4171_0235,0235_0001,0001_F001006368,79419.07915
BEVERAGES Sparkling Water Carton Box 2,Sparkling Water,Z4171_0235,0235_0001,0001_F001006368,79419.07915
CHECK OUT ITEMS Magazine Carton Box 2,Magazine,Z12913_0235,0235_0001,0001_F001006368,93692.67153
CHECK OUT ITEMS Magazine Carton Box 2,Magazine,Z12913_0235,0235_0001,0001_F001006368,112431.2058
CHECK OUT ITEMS Magazine Carton Box 2,Magazine,Z12913_0235,0235_0001,0001_F001006368,112431.2058
PERSONAL CARE Toothpaste Tub 166,Toothpaste,42007284_0235,0235_0001,0001_F001006368,238848.164
PERSONAL CARE Toothpaste Tub 166,Toothpaste,42007284_0235,0235_0001,0001_F001006368,410466.4026
PERSONAL CARE Toothpaste Tub 166,Toothpaste,42007284_0235,0235_0001,0001_F001006368,307090.4966
PERSONAL CARE Toothpaste Carton Box 33,Toothpaste,42009304_0235,0235_0001,0001_F001006368,172014.022
PERSONAL CARE Toothpaste Carton Box 33,Toothpaste,42009304_0235,0235_0001,0001_F001006368,97366.42755
PERSONAL CARE Toothpaste Carton Box 33,Toothpaste,42009304_0235,0235_0001,0001_F001006368,194732.8551
PERSONAL CARE Toothpaste Tub 200,Toothpaste,42001980_0235,0235_0001,0001_F001006368,381766.7419
PERSONAL CARE Toothpaste Tub 200,Toothpaste,42001980_0235,0235_0001,0001_F001006368,572650.1129
PERSONAL CARE Toothpaste Tub 200,Toothpaste,42001980_0235,0235_0001,0001_F001006368,286325.0564
INTERNATIONAL CONDIMENTS Mexican Salsa Trigger Spray 1,Mexican Salsa,Z3551_0235,0235_0001,0001_F001006368,21638.75823
INTERNATIONAL CONDIMENTS Mexican Salsa Trigger Spray 1,Mexican Salsa,Z3551_0235,0235_0001,0001_F001006368,64916.27469
INTERNATIONAL CONDIMENTS Mexican Salsa Trigger Spray 1,Mexican Salsa,Z3551_0235,0235_0001,0001_F001006368,21638.75823
PERSONAL CARE Toothpaste Carton Box 68,Toothpaste,42001117_0235,0235_0001,0001_F001006368,35858.22889
PERSONAL CARE Toothpaste Carton Box 68,Toothpaste,42001117_0235,0235_0001,0001_F001006368,60436.98563
PERSONAL CARE Toothpaste Carton Box 68,Toothpaste,42001117_0235,0235_0001,0001_F001006368,45327.73922
PERSONAL CARE Toothpaste Carton Box 122,Toothpaste,42002397_0235,0235_0001,0001_F001006368,102299.994
PERSONAL CARE Toothpaste Carton Box 122,Toothpaste,42002397_0235,0235_0001,0001_F001006368,94579.23972
PERSONAL CARE Toothpaste Carton Box 122,Toothpaste,42002397_0235,0235_0001,0001_F001006368,43429.24273
PERSONAL CARE Toothpaste Trigger Spray 2,Toothpaste,42002033_0235,0235_0001,0001_F001006368,99033.90629
PERSONAL CARE Toothpaste Trigger Spray 2,Toothpaste,42002033_0235,0235_0001,0001_F001006368,66022.60419
PERSONAL CARE Toothpaste Trigger Spray 2,Toothpaste,42002033_0235,0235_0001,0001_F001006368,66022.60419
INTERNATIONAL CONDIMENTS Mexican Salsa Tub 2,Mexican Salsa,42009311_0235,0235_0001,0001_F001006368,218145.3915
INTERNATIONAL CONDIMENTS Mexican Salsa Tub 2,Mexican Salsa,42009311_0235,0235_0001,0001_F001006368,290860.522
INTERNATIONAL CONDIMENTS Mexican Salsa Tub 2,Mexican Salsa,42009311_0235,0235_0001,0001_F001006368,218145.3915
CONDIMENTS Olive Oil Carton Box 188,Olive Oil,42005369_0235,0235_0001,0001_F001006368,205619.6977
CONDIMENTS Olive Oil Carton Box 188,Olive Oil,42005369_0235,0235_0001,0001_F001006368,308429.5465
CONDIMENTS Olive Oil Carton Box 188,Olive Oil,42005369_0235,0235_0001,0001_F001006368,257024.6221
FROZEN Frozen Pizza Tub 1,Frozen Pizza,42002070_0235,0235_0001,0001_F001006368,260191.6647
FROZEN Frozen Pizza Tub 1,Frozen Pizza,42002070_0235,0235_0001,0001_F001006368,312229.9977
FROZEN Frozen Pizza Tub 1,Frozen Pizza,42002070_0235,0235_0001,0001_F001006368,208153.3318
PERSONAL CARE Toothpaste Tub 847,Toothpaste,42001953_0235,0235_0001,0001_F001006368,437057.8468
PERSONAL CARE Toothpaste Tub 847,Toothpaste,42001953_0235,0235_0001,0001_F001006368,124873.6705
PERSONAL CARE Toothpaste Tub 847,Toothpaste,42001953_0235,0235_0001,0001_F001006368,187310.5058
CONDIMENTS Olive Oil Bag 15,Olive Oil,42001771_0241,0241_0001,0001_F001006368,227365.1599
CONDIMENTS Olive Oil Bag 15,Olive Oil,42001771_0241,0241_0001,0001_F001006368,292326.6342
CONDIMENTS Olive Oil Bag 15,Olive Oil,42001771_0241,0241_0001,0001_F001006368,194884.4228
CONDIMENTS Olive Oil Tub 27,Olive Oil,42001766_0241,0241_0001,0001_F001006368,31541.31979
CONDIMENTS Olive Oil Tub 27,Olive Oil,42001766_0241,0241_0001,0001_F001006368,21027.54653
FROZEN Ice Cream Tub 115,Ice Cream,42001829_0241,0241_0001,0001_F001006368,195591.1492
FROZEN Ice Cream Tub 115,Ice Cream,42001829_0241,0241_0001,0001_F001006368,264048.0514
FROZEN Ice Cream Tub 115,Ice Cream,42001829_0241,0241_0001,0001_F001006368,117354.6895
CONDIMENTS Olive Oil Bag 661,Olive Oil,42001766_0241,0241_0001,0001_F001006368,14397.22293
